course_id,course_name,credits,format,course_level,prerequisites,seats_available,department_id
1,Cultivate Mission-Critical Technologies,5,Online,Undergraduate,his,47,112
2,Engage Vertical E-Services,4,In-Person,Undergraduate,across,79,89
3,Enhance Leading-Edge Niches,4,Hybrid,Graduate,Mrs,80,15
4,Seize End-To-End Networks,3,Hybrid,Graduate,day,85,47
5,Maximize Out-Of-The-Box Portals,4,In-Person,Undergraduate,reflect,56,136
6,Morph Out-Of-The-Box Bandwidth,3,Hybrid,Graduate,tell,18,20
7,Benchmark Open-Source Niches,4,Hybrid,Graduate,dinner,82,20
8,Innovate Revolutionary Models,1,Hybrid,Graduate,go,57,71
9,Leverage Clicks-And-Mortar Convergence,3,Online,Undergraduate,half,19,74
10,E-Enable Virtual Systems,1,Online,Graduate,throughout,87,103
11,Strategize Vertical Functionalities,5,In-Person,Graduate,idea,37,33
12,Incubate Interactive Schemas,3,Hybrid,Undergraduate,few,84,71
13,Re-Intermediate Distributed Vortals,5,In-Person,Graduate,century,100,145
14,Embrace Integrated Infrastructures,4,Online,Graduate,vote,81,42
15,Repurpose Extensible Vortals,3,Hybrid,Graduate,approach,10,104
16,Mesh Innovative Solutions,5,Hybrid,Undergraduate,article,75,11
17,Enhance Intuitive Action-Items,3,Online,Undergraduate,young,71,132
18,Redefine Extensible Web Services,4,Hybrid,Undergraduate,better,30,41
19,Exploit Enterprise Convergence,2,Online,Graduate,state,21,124
20,Whiteboard Impactful Synergies,1,In-Person,Graduate,indicate,41,113
21,Visualize 24/7 Bandwidth,5,Hybrid,Graduate,painting,71,93
22,Redefine Magnetic Applications,5,Hybrid,Undergraduate,huge,76,68
23,Reinvent Innovative Convergence,5,Hybrid,Graduate,huge,18,19
24,Architect Scalable Technologies,2,Online,Undergraduate,general,41,39
25,Monetize Holistic Web Services,4,Hybrid,Undergraduate,key,69,81
26,Harness Clicks-And-Mortar Action-Items,3,Online,Graduate,total,78,52
27,Transition Killer Metrics,4,Online,Graduate,possible,74,65
28,Embrace Value-Added Synergies,3,Hybrid,Graduate,them,77,129
29,Mesh Sticky Technologies,5,Hybrid,Undergraduate,star,44,32
30,Generate Sticky Experiences,1,In-Person,Graduate,close,33,136
31,Visualize Web-Enabled Partnerships,1,In-Person,Undergraduate,threat,62,78
32,Enhance B2C Models,1,Hybrid,Graduate,prove,90,63
33,Enhance Synergistic E-Commerce,4,Hybrid,Graduate,moment,78,65
34,Benchmark Viral Web-Readiness,4,Online,Undergraduate,city,81,130
35,Revolutionize Front-End Markets,1,Online,Graduate,never,23,53
36,Whiteboard Enterprise Metrics,2,Hybrid,Undergraduate,responsibility,36,1
37,Syndicate Turn-Key Roi,4,In-Person,Graduate,security,69,95
38,Implement Clicks-And-Mortar Users,5,Online,Graduate,vote,36,6
39,Matrix Transparent Experiences,2,Online,Undergraduate,after,12,125
40,Generate Dynamic Methodologies,2,In-Person,Undergraduate,article,42,123
41,Aggregate Magnetic E-Commerce,1,In-Person,Graduate,car,81,35
42,Orchestrate Collaborative Convergence,2,Online,Graduate,present,30,20
43,Morph World-Class Synergies,2,In-Person,Graduate,bar,15,23
44,Aggregate Compelling Web Services,5,In-Person,Graduate,skill,55,42
45,Leverage Integrated E-Services,4,Online,Undergraduate,simply,14,78
46,Transform Web-Enabled Users,3,Hybrid,Graduate,seem,78,21
47,Mesh Customized Supply-Chains,1,In-Person,Undergraduate,usually,43,96
48,Benchmark Interactive Info-Mediaries,4,Online,Undergraduate,notice,81,121
49,Incentivize Visionary Schemas,5,Hybrid,Undergraduate,notice,95,81
50,Grow E-Business Partnerships,4,Hybrid,Graduate,only,92,134
51,Engineer Innovative E-Commerce,5,Hybrid,Undergraduate,into,55,73
52,Target Sticky Platforms,2,Online,Graduate,physical,67,5
53,Drive Global Architectures,2,Online,Graduate,protect,21,93
54,Architect Rich Niches,2,Online,Graduate,do,99,116
55,Seize User-Centric Portals,1,Hybrid,Undergraduate,nature,46,56
56,Re-Intermediate World-Class Deliverables,1,Hybrid,Graduate,consider,52,11
57,Leverage Sticky Interfaces,4,Hybrid,Graduate,reality,56,116
58,Exploit B2C Relationships,2,Online,Undergraduate,art,31,98
59,Grow World-Class Applications,1,Hybrid,Graduate,church,41,30
60,Transform Robust Initiatives,3,Online,Undergraduate,always,55,140
61,Transform Value-Added Supply-Chains,2,In-Person,Undergraduate,window,47,69
62,Revolutionize Bleeding-Edge Supply-Chains,5,In-Person,Undergraduate,feel,40,67
63,Grow Dot-Com Functionalities,1,Hybrid,Undergraduate,box,86,70
64,Mesh Open-Source Platforms,3,Online,Undergraduate,knowledge,60,114
65,Syndicate Cross-Media Action-Items,5,Hybrid,Graduate,role,30,90
