Branch	Date	Sales	Profit
Branch A	2024-09-09	764.0	-5.831462474346409
Branch A	2023-11-12	159.0	139.01798250230632
Branch A	2024-04-05	160.0	74.90743326190223
Branch C	2023-12-26	414.0	71.59557562145184
Branch B	2024-05-04	749.0	-15.211694411912234
Branch C	2024-01-15	10000.0	84.10525262706469
Branch B	2024-07-23	659.0	166.16483588443097
Branch B	2024-06-22	930.0	193.12028163155952
Branch C	2024-01-15	673.0	-1000.0
Branch C	2024-05-28	689.0	107.22269990537293
Branch B	2024-08-01	655.0	61.65048042364067
Branch B	2024-09-07	194.0	91.97587872603349
Branch B	2023-11-15	672.0	-10.618051414706088
Branch A	2024-08-29	844.0	192.3234273419917
Branch B	2024-03-05	768.0	205.78939535300438
Unknown	2024-05-26	958.0	213.95379777844784
Branch A	2024-01-08	546.0	-9.611264063493607
Branch A	2024-05-02	659.0	16.32352797713311
Branch C	2024-03-28	727.0	191.7206083947122
Branch A	2023-12-15	721.0	-9.39674520970739
Branch A	2024-04-07		44.04403323491229
Branch C	2024-06-04	358.0	189.5320543396254
Branch C	2024-03-14	689.0	188.76692293828458
Branch A	2024-03-23	237.0	-12.54317559717478
Branch C	2023-10-27	798.0	74.88647720672472
Branch C	2023-12-20	429.0	117.27889470567091
Branch B	2023-10-08	430.0	29.120510638041054
Branch A	2023-11-19	562.0	8.336859657679824
Branch B	2024-01-03	997.0	-0.8277086077848139
Branch C	2023-10-28	325.0	81.52835828701365
Branch B	2024-01-22	368.0	197.24216301655426
Branch B	2024-07-23	797.0	204.32496684836252
Branch B	2023-11-24	820.0	227.6047865643251
Branch B	2024-07-09	840.0	-18.10303000941012
Branch C	2024-08-13	192.0	99.70688800605895
Branch A	2024-06-20	449.0	-28.04563535383855
Branch A	2024-05-10	442.0	174.77657847856256
Branch B	2023-11-13	214.0	46.85114572197676
Branch A	2024-07-12	464.0	99.8306338816608
Branch B	2024-07-21	150.0	106.4740817122939
Branch B	2024-08-20	514.0	-4.889831854084875
Branch A	2023-12-08	408.0	118.49411393154772
Branch A	2023-12-08	392.0	184.5762984054288
Branch C	2023-10-29	618.0	-16.86399627243732
Branch C	2023-12-27	790.0	78.17168690154185
Branch C	2024-07-05	158.0	96.88665440211645
Branch A	2024-05-21	283.0	181.7396280774519
Branch A	2023-10-15	455.0	80.5814534669936
Branch C	2024-06-12	216.0	134.08872647674897
Branch C	2024-04-17	666.0	86.97565705196786
Branch B	2024-01-06	499.0	0.07997816452480322
Branch A	2024-01-13	964.0	77.82289948930487
Branch A	2024-09-26	788.0	85.88441122032754
Branch B	2024-08-20	460.0	-10.692775305082606
Branch A	2024-09-16	645.0	74.65976636461174
Branch B	2024-05-19	248.0	211.37509766059657
Branch A	2024-01-19	767.0	108.36165452314472
Branch A	2024-01-06	487.0	195.8290948264085
Branch B	2024-07-23	562.0	110.00254763774525
Branch A	2024-03-22	865.0	8.174741590812289
Branch B	2023-11-15	763.0	178.24261812758263
Branch A	2024-01-29	165.0	33.092806008331166
Branch B	2023-12-09	494.0	-3.594579233772663
Branch B	2023-11-01	183.0	95.38239138622727
Branch B	2023-10-19	777.0	98.32146388822707
Branch C	2024-02-02	997.0	205.53655951347184
Branch A	2024-05-16	168.0	95.26629048672454
Branch B	2024-08-31	291.0	121.14860174561088
Branch C	2024-03-20	617.0	188.24970943293124
Branch C	2024-08-07	929.0	-22.884083686487273
Branch B	2023-12-25	278.0	212.70927164952798
Branch B	2024-07-04	258.0	-2.117708821932922
Branch B	2024-06-12	729.0	40.02129396110985
Branch B	2024-06-22	460.0	5.050774130799155
Branch A	2024-07-05	418.0	180.40877393628338
Branch C	2024-06-04	441.0	114.99719470802171
Branch B	2024-06-16	251.0	189.99008208663173
Branch C	2023-12-15	314.0	114.70034492991779
Branch A	2024-01-21	401.0	19.868886346238924
Branch A	2023-10-15	813.0	-10.603746450051887
Branch C	2023-10-13	518.0	205.23335921257905
Branch A	2024-04-15	396.0	121.13538943513707
Branch B	2024-01-03	602.0	-10.128995038717875
Branch A	2023-10-31	370.0	94.93901071349894
Branch C	2024-03-23	976.0	91.78060638738985
Branch B	2024-05-08	246.0	198.45587564475784
Branch A	2024-03-10	650.0	100.91898625937563
Branch B	2024-02-27	535.0	35.5578331967515
Branch C	2024-01-14	449.0	87.85869850330072
Branch B	2023-10-03	390.0	105.99797114474143
Branch A	2024-02-23	676.0	190.43526118265981
Branch A	2024-09-09	842.0	117.55656052479804
Branch A	2024-06-19	679.0	-8.80729469784734
Branch C	2024-07-21	905.0	189.11758001194423
Branch A	2024-09-25	636.0	205.12612291288502
Branch B	2024-04-15	866.0	182.2858765895224
Branch A	2024-01-19	311.0	178.07669633529645
Branch B	2024-04-26	748.0	143.11125712494274
Branch C	2024-06-29	640.0	15.341910196040118
Branch B	2024-08-03	651.0	9.89976032494539
